age,sex,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
80,Male,96000,98826,102136,103036,102481,97237,91157,81591,91498,126970,126947,121847,117548,117695,119192,121930,123013,123397,127093,131885,135438,137073,135686,138252,145013,148374,152568,157065,158350,155661
81,Male,86419,86460,89293,91604,93184,92547,87881,82863,74417,84821,116052,116146,111865,108018,108627,110367,113320,114524,114936,118886,123733,127378,129033,128138,130225,136877,140113,143896,148761,148832
82,Male,75507,77037,77191,79598,82025,83278,83151,79316,74643,67263,78615,104892,105378,101965,98925,99712,101577,104481,105755,106689,110662,115420,118670,120922,119702,122069,128259,131207,135371,138619
83,Male,64871,66613,68232,68242,70509,72586,73897,74147,70514,66522,60454,71367,94015,94801,92381,89958,90974,92902,95885,97404,98416,102320,106712,110308,111789,111164,113427,119193,122422,125204
84,Male,53842,56529,58254,59377,59740,61682,63832,65143,65261,61979,59199,53849,64322,83249,84541,83284,81297,82478,84036,87457,88954,89814,93454,98281,101110,102861,102221,104143,110254,111986
0,Female,342391,337749,325791,325118,315589,309831,316340,308020,304489,296031,288138,287641,295008,306222,312113,320619,329804,343308,340700,345180,348918,357066,345969,340169,339138,342251,334380,326155,315623,307514
1,Female,333971,341396,336634,324726,324643,314717,309841,315770,308545,303676,294539,289486,287867,294420,306584,312098,322027,330347,343405,340131,344644,351517,359516,349252,343625,342669,345349,337670,329379,319044
2,Female,331693,334019,341064,336446,324966,324105,314370,310359,316425,308575,302174,296328,290608,287723,295324,306616,312422,323593,331196,343449,340637,346966,353840,362591,352575,347055,345424,348591,340628,332653
3,Female,335793,331991,334165,341159,336364,325045,323647,314242,311519,316599,307905,304234,297596,291443,288721,295689,306918,312672,325200,331808,344380,342586,348767,356577,365514,355629,349544,348453,351125,343350
4,Female,326068,335506,331746,334429,341298,336432,325113,323246,314659,312475,315802,309955,305966,298703,293177,289264,296145,307051,312877,326462,333299,345998,344304,351224,359284,368375,358092,352034,350512,353465
5,Female,321431,325840,335221,331581,334285,341195,336136,325113,322883,313716,313333,317423,311936,308009,299492,293944,290111,296443,307539,313698,327583,334764,347543,346558,353652,361760,370461,360147,353992,352594
6,Female,320703,321580,326092,335362,332107,334959,341329,336392,325972,322294,313980,314679,319453,313586,309025,300425,295538,290629,297100,308135,313502,328786,336116,349466,348529,355597,363485,372335,361919,355901
7,Female,307667,320743,321412,326320,335492,332228,334983,341303,336678,325593,322044,315285,316694,321400,314468,310150,302237,296941,291523,297974,307763,314879,330043,337853,351313,350334,357105,365100,373679,363588
8,Female,308217,307930,320850,321516,326641,335569,332301,335247,341888,336305,326117,323732,317207,318500,322453,315488,312176,303833,298565,292551,297864,309015,316165,331648,339461,353002,351737,358982,365717,374713
9,Female,307553,308409,308279,321232,321576,327051,335673,332617,336167,341808,336791,327317,325734,318919,319439,323650,317238,313883,305565,300341,292669,299318,310395,317719,333250,341024,354309,353272,360005,367048
10,Female,312845,307204,308191,308597,321425,321641,327079,335592,333102,335715,341420,338444,328553,326342,319867,321111,325906,318513,315079,307372,301342,294107,300721,312032,319355,334884,342432,356173,354261,361287
11,Female,315534,313562,307687,308568,309256,322091,321937,327635,336442,332886,335915,343047,339853,328890,327640,321658,323080,327332,319602,317126,308567,302954,295664,302458,313887,321212,336432,344031,357185,355554
12,Female,302920,315622,313850,307944,308706,309764,322269,322037,328354,336038,332741,336216,344353,340033,329679,329457,323558,324353,328587,321389,318436,310179,304533,297573,304380,315838,323003,338357,345303,358653
13,Female,278976,303409,315971,314366,308516,309337,310285,322867,323026,328529,336345,333000,336657,344275,340835,331141,331655,324933,325516,330585,322702,319951,311591,306343,299498,306263,317425,324828,339871,346775
14,Female,274443,279403,303676,316296,314726,308788,309287,310624,323466,322646,328464,336636,333848,335540,344872,342226,332798,333120,325993,327260,332026,324096,321383,313310,308136,301097,307789,319249,326276,341254
15,Female,286924,275081,280036,304364,317218,315436,309492,309541,311084,322353,323443,328518,338426,334962,337062,346443,344640,335471,336284,328203,330039,333278,325305,323175,315218,310133,302881,309669,320916,327703
16,Female,299695,287405,275530,280575,305085,317604,316086,309904,309895,310789,324331,323405,331098,340503,337345,337877,349300,348053,338891,339119,331588,330984,334321,327259,325073,317338,311994,304705,311260,322167
17,Female,311382,300040,287722,276041,281259,305488,318201,316535,310495,308906,313208,324612,326195,333656,343722,338441,340202,353203,352261,341644,343404,332862,332213,336676,329987,327868,319674,315248,306835,313556
18,Female,333303,311660,300164,287970,276288,280636,304366,316354,314857,304937,307972,314786,328756,330487,339947,346061,343261,345888,360131,356631,348008,346125,335031,335523,340574,333753,331499,323012,318239,310042
19,Female,355147,336011,315403,305110,293978,282276,286141,308370,320219,315704,309464,311795,321225,336335,340896,343824,354813,353155,356003,366707,366756,352948,350343,340908,342067,346804,338856,337970,328346,324867
20,Female,376572,356898,335982,314767,304169,293161,283213,288688,307889,322251,324064,315513,317668,326626,344516,349264,350654,361897,356705,361515,374281,371094,357535,356629,347962,348711,352592,345284,343967,334829
21,Female,372828,377846,358699,338098,317537,306393,296090,287227,291597,310634,326262,331110,322450,326344,337716,355224,357310,359554,366714,363915,369976,378827,374507,362068,362254,352464,352639,356970,349072,348432
22,Female,389892,374679,379087,361387,341472,320533,309399,300327,292617,296408,316192,335066,338790,332908,341741,351364,365207,367732,365437,375624,374322,375795,384022,380577,369424,368099,357867,359679,363222,355765
23,Female,394574,391551,376541,381528,365326,344937,324253,312896,306322,299317,304231,324742,342923,348548,347020,355929,361018,374530,372505,373043,384541,379809,381144,390034,387973,375506,373084,364594,365921,369410
24,Female,406716,395652,392285,378491,383485,367926,347674,327512,318446,311426,306936,311369,332249,352734,362008,360895,367022,370426,379154,379279,381109,388104,383526,385300,395781,392488,378601,377796,369019,370487
25,Female,415693,407717,396676,393932,380753,385430,370778,351047,333342,325988,316483,311297,316688,339903,363734,368099,368972,371651,372938,383089,382585,383728,390886,386902,389857,399410,395190,382149,381121,372071
26,Female,423615,415788,408366,398471,395720,382706,387509,374060,356081,340075,330440,320576,316348,322718,350189,369940,375630,373576,375930,377117,386177,384865,386401,393921,391474,393569,401927,398238,384630,383451
27,Female,422853,422775,415786,410157,400230,397351,384800,389834,378707,362102,344165,333849,325207,321980,330951,355814,377173,379647,377730,381517,380309,387861,387180,389318,398454,394773,395867,404484,399977,385816
28,Female,415285,421489,421727,416586,411199,401811,398772,386869,392998,384709,365707,347167,338120,330618,329808,335313,362551,381412,383347,383192,386325,381904,389580,389566,393213,401735,396962,397714,405504,400919
29,Female,405883,414261,420306,422123,416993,412411,403314,400445,389813,396999,387867,368182,350693,342934,337797,333743,340273,366401,385263,388103,387793,387634,383761,392033,393327,396097,403735,398776,398772,406057
30,Female,394420,404359,413011,420254,421897,417695,413879,404733,403138,393858,399464,389841,370405,352034,348555,342965,335054,344533,368553,388973,390950,388750,389005,385457,394938,395598,397417,405108,399102,399137
31,Female,377242,393778,403476,413365,419763,422023,418567,414833,406703,405815,395794,401608,391415,371583,356622,352831,344238,338916,345720,371960,391934,391846,389799,389957,387276,396068,396636,398745,406246,400073
32,Female,371001,376932,393044,403874,412991,419850,422428,418949,416526,409383,407451,397491,403892,391861,375675,360403,353921,348063,340231,347928,374870,392780,392857,390766,391825,388671,397219,398264,399740,406975
