exposure,ag,gender,svd_smk,svd_cvd,svd_otc,svd_drd,svd_hep,svd_oth,fu,total
TRUE,56,female,9,12,23,7,5,17,2823.81656399726,73
FALSE,56,male,18,32,32,2,0,38,22416.1451060917,122
TRUE,56,male,38,23,34,38,11,47,6214.83915126626,191
FALSE,57,female,3,3,13,1,0,14,8754.32443531827,34
TRUE,57,female,15,11,13,4,2,24,2512.61054072553,69
FALSE,57,male,15,29,32,0,0,34,19516.2080766598,110
TRUE,57,male,31,20,28,18,7,68,5367.92334017796,172
FALSE,58,female,2,7,18,0,0,16,7948.8514715948,43
TRUE,58,female,11,5,14,4,0,15,2270.91307323751,49
FALSE,58,male,15,20,37,0,0,28,17116.4572210815,100
TRUE,58,male,38,21,28,21,2,47,4649.25393566051,157
FALSE,59,female,7,5,15,1,0,12,7239.73990417522,40
TRUE,59,female,14,6,9,11,2,14,2069.76043805613,56
FALSE,59,male,10,18,39,0,0,17,15124.4353182752,84
TRUE,59,male,33,16,26,15,3,64,4072.98288843258,157
FALSE,60,female,6,7,17,0,0,13,6601.32511978097,43
TRUE,60,female,21,10,10,8,2,12,1869.93292265572,63
FALSE,60,male,14,24,24,2,0,28,13451.9123887748,92
TRUE,60,male,40,31,29,16,5,53,3595.15947980835,174
FALSE,61,female,8,6,16,1,0,11,6071.90691307324,42
TRUE,61,female,23,8,18,3,1,12,1675.56741957563,65
FALSE,61,male,25,26,24,1,0,17,11890.0232717317,93
TRUE,61,male,31,12,24,17,4,48,3118.82272416153,136
FALSE,62,female,6,5,13,0,0,10,5640.81314168378,34
TRUE,62,female,24,7,10,6,0,4,1530.01779603012,51
FALSE,62,male,15,31,29,0,0,35,10568.6707734428,110
TRUE,62,male,39,20,25,11,5,32,2736.87611225188,132
FALSE,63,female,5,4,19,0,0,13,5146.05338809035,41
TRUE,63,female,11,7,9,4,2,10,1421.80698151951,43
FALSE,63,male,21,20,43,0,0,23,9293.56878850103,107
TRUE,63,male,26,24,37,7,1,26,2385.14168377823,121
FALSE,64,female,10,8,12,0,0,5,4645.69199178645,35
TRUE,64,female,17,6,11,0,0,18,1345.21560574949,52
FALSE,64,male,16,18,22,0,0,24,8135.10472279261,80
TRUE,64,male,27,21,20,8,8,33,2088.56673511294,117
FALSE,65,female,5,6,11,0,0,4,4143.81382614647,26
TRUE,65,female,15,5,11,0,1,19,1173.05407255305,51
FALSE,65,male,15,25,27,1,0,25,6971.75359342916,93
TRUE,65,male,15,10,24,1,2,27,1740.14784394251,79
FALSE,66,female,3,2,14,0,0,10,3654.40109514031,29
TRUE,66,female,5,7,2,2,0,11,975.247091033539,27
FALSE,66,male,15,18,22,1,0,17,5909.81793292266,73
TRUE,66,male,13,7,10,0,4,13,1414.54346338125,47
FALSE,67,female,15,4,14,0,0,4,3149.18548939083,37
TRUE,67,female,12,3,7,2,0,8,816.613278576318,32
FALSE,67,male,15,14,22,0,0,20,4920.128678987,71
TRUE,67,male,9,8,13,1,0,12,1137.84257357974,43
FALSE,68,female,9,8,10,2,0,4,2666.09719370294,33
TRUE,68,female,10,4,1,0,0,2,669.702943189596,17
FALSE,68,male,5,10,19,0,0,16,4006.33538672142,50
TRUE,68,male,11,7,6,0,0,14,907.838466803559,38
FALSE,69,female,1,3,7,0,0,8,2206.86652977413,19
TRUE,69,female,7,8,3,0,0,4,541.549623545517,22
FALSE,69,male,13,10,8,1,0,17,3188.0848733744,49
TRUE,69,male,6,13,7,1,0,9,708.027378507871,36
FALSE,70,female,1,3,7,0,0,9,1825.44010951403,20
TRUE,70,female,5,2,5,1,0,8,436.843258042437,21
FALSE,70,male,7,20,12,0,1,14,2513.75770020534,54
TRUE,70,male,3,7,8,0,0,12,548.651608487337,30
FALSE,71,female,2,5,5,0,0,6,1492.16700889802,18
TRUE,71,female,2,2,1,0,0,4,367.603011635866,9
FALSE,71,male,5,11,13,0,0,9,1876.3832991102,38
TRUE,71,male,7,5,3,1,0,4,420.117727583847,20
FALSE,72,female,2,4,5,0,0,1,1200.0629705681,12
TRUE,72,female,4,1,3,0,0,2,281.864476386037,10
FALSE,72,male,7,2,13,0,0,7,1403.55920602327,29
TRUE,72,male,8,4,0,0,0,5,329.051334702259,17
FALSE,73,female,6,2,6,0,0,6,960.991101984942,20
TRUE,73,female,4,2,0,0,0,3,215.652292950034,9
FALSE,73,male,5,3,3,0,0,6,1082.29431895962,17
TRUE,73,male,1,6,2,0,0,3,252.229979466119,12
FALSE,74,female,2,1,4,0,0,2,748.717316906229,9
TRUE,74,female,3,0,1,0,0,3,159.619438740589,7
FALSE,74,male,2,8,7,0,0,5,831.78097193703,22
TRUE,74,male,2,4,2,0,0,7,177.308692676249,15
FALSE,75,female,0,5,4,0,0,3,560.399726214921,12
TRUE,75,female,1,1,0,0,0,2,126.209445585216,4
FALSE,75,male,6,6,6,0,0,4,620.758384668036,22
TRUE,75,male,2,1,2,0,0,3,129.749486652977,8
FALSE,76,female,1,2,5,0,0,6,419.572895277207,14
TRUE,76,female,0,0,1,0,0,2,91.7015742642026,3
FALSE,76,male,4,3,3,0,0,5,434.231348391513,15
TRUE,76,male,3,2,2,0,0,3,86.5215605749487,10
FALSE,77,female,1,1,3,0,0,1,318.184804928131,6
TRUE,77,female,0,0,0,0,0,1,64.9801505817933,1
FALSE,77,male,0,4,5,0,0,2,308.514715947981,11
TRUE,77,male,3,2,0,0,0,1,60.4188911704312,6
FALSE,78,female,2,2,3,0,0,1,239.206023271732,8
TRUE,78,female,2,0,0,0,0,1,51.7973990417522,3
FALSE,78,male,0,1,1,0,0,0,219.830253251198,2
TRUE,78,male,0,0,0,0,0,2,38.7898699520876,2
FALSE,79,female,0,3,0,0,0,1,177.815195071869,4
TRUE,79,female,0,0,0,0,0,4,39.6577686516085,4
FALSE,79,male,0,1,2,0,0,4,154.595482546201,7
TRUE,79,male,0,1,0,0,0,2,27.5920602327173,3
FALSE,80,female,4,2,8,0,0,6,358.737850787132,20
TRUE,80,female,0,2,0,0,0,1,74.6748802190281,3
FALSE,80,male,2,4,3,0,0,7,218.242299794661,16
TRUE,80,male,0,0,2,0,0,0,33.201916495551,2
